File,Ground_Truth,Raw_STT,Corrected_STT,Trigger_Keyword,Matched_Menu,교정성공(키워드보존),RAG범주화성공
EN12RC045_EN0030_20210806.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 딸기 생크림 케이크와 와플을 주문했어요.",우리는 아이스메이카노 세 장과 수박스무기 한 잔 딸기생 크림 케이크와 워플 주문했어요,ICE 우리는 ICE메이카노 세 장과 수박스무기 한 잔 딸기생 크림 케이크와 워플 주문했어요,아메리카노,"['ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼', 'ICE 연유라떼', 'ICE 카페모카', 'ICE 카라멜마끼아또', 'ICE 디카페인 아메리카노', 'ICE 디카페인 카페라떼']",O,O
JP13RC062_JP0156_20210802.wav,"어떻게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가, 제가 직접 쿠키와 빵을 만들어 주기로 결심했습니다. ",어떻게 하면 진글로 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 국기화 빵으로 만들어주기로 결심했습니다.,어떻게 하면 진글로 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 국기화 빵으로 만들어주기로 결심했습니다.,쿠키,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",O,O
EX12RC045_EX0511_20211010.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스크림 아메리카노 세 잔과 수박 스모지 한 잔 그리고 딸기생 그림 케이크를 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP12RC045_JP0097_20210727.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차가운 아메리카노 세장과 수박 스물디 한장 그리고 딸기 생크림 케익으로 주문했습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
CN50QA300_CN0396_20211012.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '여러분이 가지고 있는 책 혹은 읽어본 책 중 하나를 골라서 그 책이 무슨 내용인지 간략히 설명해 주세요.', 'AnswerLabelText': '제가 요즘에 보고 있는 책은 불안 중독이라는 거입니다 초콜릿 알코올 카페인 스마트폰을 끄지 못하는 진짜 이유 그리고 통제하는 법에 대한 이야기입니다', 'SentenceSpeechLV': '상'}",제가 요즘에 보고 있는 책은 불안 중독이라는 거입니다. 초콜릿 알코올 카페인 스마트폰을 끝이 못하는 진자 이유 그리고 텐재하는 법에 대한 이야기입니다.,제가 요즘에 보고 있는 책은 불안 중독이라는 거입니다. 초콜릿 알코올 카페인 스마트폰을 끝이 못하는 진자 이유 그리고 텐재하는 법에 대한 이야기입니다.,초콜릿,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",X,O
EN22RB034_EN0156_20211026.wav,"또 늦은 시간인데도 와줘서 고맙다고 하시며, 초코소라빵을 꺼내서 저에게도 먹어 보라고 주셨어요.",또 늦은 시간인데도 와줘서 고맙다고 하시며 초코 서랍방을 꺼내서 저에게도 먹어보라고 주셨어요.,초코,초코,['ICE 초코'],O,O
EX12RC045_EX0022_20210805.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스메카 노 3장과 소박이 스모티 한장, 길이고 딸기 생키림 개큐를 주문했어요.","ICE 우리는 ICE 아메리카노 3장과 소박이 스모티 한장, 길이고 딸기 생키림 개큐를 주문했어요.",아메리카노,['ICE 아메리카노'],O,O
EX12RC045_EX0043_20210727.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이사메리카노 3장과 소박스모티 한잔 그리고 딸기 생크림 케이크를 주문했어요.,우리는 아이사메리카노 3장과 소박스모티 한잔 그리고 딸기 생크림 케이크를 주문했어요.,아메리카노,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",X,O
JP12RC045_JP0049_20210801.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차가운 아메리카노 세장과 수박 스무디 한자 그리고 딸기 생크림이 개그를 주문했습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP13RC062_JP0110_20210730.wav,"어떻게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가, 제가 직접 쿠키와 빵을 만들어 주기로 결심했습니다. ",어떻게 하면 친구를 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 크기와 빵을 만들어 주기로 결심했습니다.,어떻게 하면 친구를 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 크기와 빵을 만들어 주기로 결심했습니다.,쿠키,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",O,O
JP10QC271_JP0175_20210818.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '가장 좋아하는 과일이 말랑 복숭아고 일본에서도 자주 먹었었고 지금 막 먹을 수 있는 과일이라서 더 좋아하는 거 같습니다', 'SentenceSpeechLV': '상'}",가장 좋아하는 과일이 말랑 복숭하고 일본에서도 자주 먹었고 지금 마음 먹을 수 있는 과일이라서 더 좋아하는 것 같습니다.,가장 좋아하는 과일이 말랑 복숭하고 일본에서도 자주 먹었고 지금 마음 먹을 수 있는 과일이라서 더 좋아하는 것 같습니다.,복숭아,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",X,O
VN12RC046_VN0148_20210805.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무 디른 식김진구는 예전에 커피는 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피는 저 때로 안 마신대요.,스무 디른 식김진구는 예전에 커피는 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피는 저 때로 안 마신대요.,라떼,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN30QA299_CN0227_20210808.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '저 한국에서 카페를 가 봤는데 음/ 친구랑 같이도 가고 혼자도 가고 거기서 항상은 아메리카노를 마셔요', 'SentenceSpeechLV': '중'}",저 한국에서 카페를 가봤는데 친구랑 같이 갖고 혼자 또 갖고 거기서 항상는 아메리카너를 마셔요.,저 한국에서 카페를 가봤는데 친구랑 같이 갖고 혼자 카라멜마끼아또 갖고 거기서 항상는 아메리카노 마셔요.,아메리카노,['카라멜마끼아또'],X,O
EN12RC045_EN0027_20210815.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 딸기 생크림 케이크와 와플을 주문했어요.",우리는 아이스메 레카 노 세 장과 수박스무지 한 잔 딸기 생크림 케이크와 워프를 주문했어요,ICE 우리는 ICE메 레카 노 세 장과 수박스무지 한 잔 딸기 생크림 케이크와 워프를 주문했어요,아메리카노,['ICE 초코'],X,O
VN12RC046_VN0005_20210801.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무티를 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 저있대로 안 마신데요.,스무티를 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 저있대로 안 마신데요.,라떼,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
VN12RC045_VN0016_20210730.wav,"우리는 흑당 라떼 세 잔과, 수박 스무디 한 잔이랑 청포도 주스 두 잔, 그리고 딸기 팥빙수를 주문했어요.",우리는 아이스 아메리카노 세찬과 수박 스무티 한잔 딸기생크림 케이크와 워플을 주문했어요.,ICE 아메리카노,라떼,['ICE 아메리카노'],X,O
VN12RC045_VN0155_20210924.wav,"우리는 흑당 라떼 세 잔과, 수박 스무디 한 잔이랑 청포도 주스 두 잔, 그리고 딸기 팥빙수를 주문했어요.",올인은 흑당 아대 세잔과 소박 스무디 한장이랑 정포도 조수 두잔 그리고 딸기 밥빈스릉 주문했어요.,올인은 흑당 아대 세잔과 소박 스무디 한장이랑 정포도 조수 두잔 그리고 딸기 밥빈스릉 주문했어요.,라떼,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",X,O
EX12RC045_EX0672_20211018.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스아��리카노 세찬과 수빡스모디한 잔 그리고 딸기 생크림 그이크로 주무였어요,ICE 우리는 ICE 세찬과 수빡스모디한 그리고 딸기 생크림 그이크로 주무였어요,아메리카노,['ICE 초코'],X,O
VN12RC045_VN0331_20210825.wav,"우리는 흑당 라떼 세 잔과, 수박 스무디 한 잔이랑 청포도 주스 두 잔, 그리고 딸기 팥빙수를 주문했어요.",올이는 흑당 낙대 세찬과 소박스무디 한찬이랑 정포도 추습 두 잔 그리고 딸기 팟민수는 주문했어요.,올이는 흑당 낙대 세찬과 소박스무디 한찬이랑 정포도 추습 두 그리고 딸기 팟민수는 주문했어요.,라떼,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",X,O
JP12RC045_JP0040_20210801.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.","우리는 차가운 아메리카모, 세장과 수박숨무드 한장, 그리고 딸기생크림케이크를 주문했습니다.","ICE 우리는 ICE 아메리카모, 세장과 수박숨무드 한장, 그리고 딸기생크림케이크를 주문했습니다.",아메리카노,['ICE 초코'],X,O
CN12RC045_CN0505_20211024.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 산달기 스모티 한 장 그리고 딸기 생크림 케이크를 주무었어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
EN22RB036_EN0156_20211026.wav,"급하게 초코소라빵을 바닥에 내려놓았고, 양손으로 입과 코를 모두 가린 뒤에, 계속 기침을 했습니다.",급하게 초코 소라빵을 바닥에 내려놓았고 양손으로 입과 코를 모두 가린 뒤에 계속 기침을 했습니다.,초코,초코,['ICE 초코'],O,O
VN20QB235_VN0316_20211106.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '여가 시간에 배우고 싶은 것은 무엇인가요? 왜 그것을 배우고 싶나요? (예: 태권도, 춤, 요리, 복싱, 노래, 수영)', 'AnswerLabelText': '저는 요리에 관심 많아서 여가 시간에 배우고 싶은 것은 빵 만들기예요 저랑 애기가 빵을 좋아해서 제가 빵을 직접 만들고 싶어요 현재는 제가 쿠키랑 카스텔라 빵 만들 수 있는데 더 다양한 빵 종류 만들고 싶어요', 'SentenceSpeechLV': '중'}",저는 요리를 관심 많아서 여가 시간에 배우고 싶은 것은 빵 만들기에요. 저랑 애기가 빵을 좋아해서 제가 빵을 직접 만들고 싶어요. 현재는 제가 쿠키랑 캐스텔라빵 만들 수 있는데 또 다양한 방 중료 만들고 싶어요.,저는 요리를 관심 많아서 여가 시간에 배우고 싶은 것은 빵 만들기에요. 저랑 애기가 빵을 좋아해서 제가 빵을 직접 만들고 싶어요. 현재는 제가 쿠키랑 캐스텔라빵 만들 수 있는데 또 다양한 방 중료 만들고 싶어요.,쿠키,['치즈 케익'],X,O
JP12RC045_JP0176_20210803.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차가운 아메리카노 세장과 수박수무티 한장 그리고 딸기 생크림 케이크를 주문했습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP12RC045_JP0161_20210802.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차가운 아메리카노 세 장과 수박수무디의 한잔 그리고 딸기 생크림케이크를 주문했습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
CN12RC045_CN0075_20210730.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세산과 산달기 스무디 한산 그리고 딸기 승크림 케이크를 주문했어요,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
CN10QC278_CN0121_20210801.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '지금 입고 있는 옷의 종류와 색깔에 대해 얘기해 주세요. 이 옷을 언제, 어떻게 갖게 되었나요?', 'AnswerLabelText': '지금 입고 있는 잠옷입니다 잠옷은 파란색이고 그 위에 복숭아 무늬가 있습니다 이 잠옷은 제가 두 달 전에 쇼핑했을 때 사는 거에요', 'SentenceSpeechLV': '중'}",지금 입고 있는 자모입니다. 자모는 파란색이고 그 위에 복숭아 문을 가 있습니다. 이 자모는 제가 두 달 전에 쇼핑했을 때 사는 거예요.,지금 입고 있는 자모입니다. 자모는 파란색이고 그 위에 복숭아 문을 가 있습니다. 아이스티 자모는 제가 두 달 전에 쇼핑했을 때 사는 거예요.,복숭아,['복숭아 아이스티'],O,O
VN12RC046_VN0359_20211022.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무데를 시킨 친구는 이전의 우주를 마시고 배가 아파 병원에 간 적이 있어서 그 뒤로 우유 같은 라떼를 안 마시면 돼요.,스무데를 시킨 친구는 이전의 우주를 마시고 배가 아파 병원에 간 적이 있어서 그 뒤로 우유 같은 라떼를 안 마시면 돼요.,라떼,"['카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', 'ICE 카페라떼', 'ICE 바닐라라떼', 'ICE 연유라떼', 'ICE 카페모카', 'ICE 카라멜마끼아또']",O,O
TH12RC045_TH0284_20211106.wav,"우리는 아이스 아메리카노 세 잔과, 사과 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스크림 아메리카노, 세잔과 사과의 스무티랑 한잔, 그리고 딸기 생크림, 케이크는 주문했어요.",ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
VN12RC046_VN0120_20210925.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무드일은 시킨 친구는 예전에 오로는 마시고 뼈가 아파 병어에 간 적이 있어서 그 뒤로 오로 가든 라데든 안 마신데요.,스무드일은 시킨 친구는 예전에 오로는 마시고 뼈가 아파 병어에 간 적이 있어서 그 뒤로 오로 가든 라데든 안 마신데요.,라떼,['ICE 카라멜마끼아또'],X,O
CN30QA299_CN0191_20210730.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '저는 한국에서 카페는 항상 가요 왜냐면 친구랑 같이 카페 가고 사진 찍고 케이크도 먹고 얘기도 나누고요 저는 항상 아이스아메리카노 먹고요', 'SentenceSpeechLV': '중'}","저는 한국에서 카페는 항상 가요. 왜냐면 친구랑 같이 카페 가고, 찾은 찍고 케이크도 먹고, 얘기도 라로우고요. 저는 항상 아이스 아메뉴 가는 곳을 가요.","ICE 저는 한국에서 카페는 항상 가요. 왜냐면 친구랑 같이 카페 가고, 찾은 찍고 케이크도 먹고, 얘기도 라로우고요. 저는 항상 ICE 아메뉴 가는 곳을 가요.",아메리카노,['ICE 카라멜마끼아또'],X,O
CN12RC045_CN0201_20210727.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 산빡이 스무리 한 잔 그리고 딸기 생크림 케이크를 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
EN12RC045_EN0106_20211020.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 딸기 생크림 케이크와 와플을 주문했어요.",우리는 아이스크림 아메리카노 세장과 수박 스무디 한잔 딸기생 크림 케이크와 와플을 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
TH12RC045_TH0263_20211105.wav,"우리는 아이스 아메리카노 세 잔과, 사과 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 서바스무드 한 잔 그리고 딸기생 그림 케이크를 주문했어요,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP10QC242_JP0004_20210726.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '음/ 요즘 좋아하는 음료수는 아이스 아메리카노예요 여름에는 아이스 아메리카노 겨울에는 따뜻한 커피를 즐겨 먹습니다', 'SentenceSpeechLV': '중'}",요즘 좋아하는 요수는 아이스 아메리카노에요. 열매는 아이스 아메리카노. 겨울에는 따뜻한 커피을 줄겨먹습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
EX12RC045_EX0322_20210807.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 알사마리카노 새 잔과 수박수모대 한 잔 그리고 딸기 생그림 개크를 주문했어요,우리는 알사마리카노 새 잔과 수박수모대 그리고 딸기 생그림 개크를 주문했어요,아메리카노,['아메리카노'],O,O
TH30QA299_TH0216_20211024.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '음/ 제가 그/ 한국에서 있는 카페에 가 본 적이 없어요 그런데 갈 수 있다면 제가 친구들이랑 가고 싶어요 그리고 마실 것은 그/ 제가 아메리카노를 마시고 싶어요', 'SentenceSpeechLV': '중'}",제가 한국에서 있는 카페에 가본 적이 없어요. 그런데 할 수 있다면 제가 싱구를이랑 가고 싶어요. 그리고 마친 그 싱크 실가 아메리카노를 마치고 싶어요.,제가 한국에서 있는 카페에 가본 적이 없어요. 그런데 할 수 있다면 제가 싱구를이랑 가고 싶어요. 그리고 마친 그 싱크 실가 아메리카노 마치고 싶어요.,아메리카노,['아메리카노'],O,O
EX12RC045_EX0867_20211020.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스 아메리카노, 세찬과 소박스무티 한잔 그리고 딸기생크림 케이크를 주문했어요.",ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP13RC062_JP0037_20210730.wav,"어떻게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가, 제가 직접 쿠키와 빵을 만들어 주기로 결심했습니다. ",어떻게 하면 친구를 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 쿠키와 빵을 만들어주기로 결심했습니다.,마카다미아 쿠키,쿠키,['마카다미아 쿠키'],O,O
CN10QC273_CN0165_20211026.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '아플 때 꼭 먹는 음식이 있나요? 왜 아플 때 그 음식을 먹나요?', 'AnswerLabelText': '나는 아플 때 초콜릿을 먹는 것입니다 왜냐하면 초콜릿을 먹으면 더 아프다고 들었기 때문입니다', 'SentenceSpeechLV': '상'}",나는 아플 때 척 허리스를 먹는 것입니다. 왜냐하면 척 허리스를 끌면 더 아프다고 들었기 때문입니다.,나는 아플 때 척 허리스를 먹는 것입니다. 왜냐하면 척 허리스를 끌면 더 아프다고 들었기 때문입니다.,초콜릿,['ICE 디카페인 아메리카노'],X,O
