File,Ground_Truth,Raw_STT,Corrected_STT,Trigger_Keyword,Matched_Menu,교정성공(키워드보존),RAG성공(카테고리일치)
VN10QC271_VN0294_20210817.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '제가 가장 좋아하는 과일은 복숭아입니다 왜냐하면 맛있기 때문입니다', 'SentenceSpeechLV': '상'}",제가 가장 좋아하는 과일은 복숭아입니다. 왜냐하면 맛있기 때문입니다.,제가 가장 좋아하는 과일은 복숭아 왜냐하면 맛있기 때문입니다.,복숭아,['복숭아 아이스티'],O,O
EX12RC045_EX0511_20211010.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스크림 아메리카노 세 잔과 수박 스모지 한 잔 그리고 딸기생 그림 케이크를 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
TH30QA299_TH0233_20211030.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '네 한국에서 카페에 가 본 적이 있어요 친구와 같이 갔어요 어/ 제가 녹차라떼를 마셨어요', 'SentenceSpeechLV': '하'}",한국에서 카페 가본적이 있어요. 친구와 같이 갔어요. 제가 녹차 라떼을 마쳤어요.,한국에서 디카페인 가본적이 있어요. 친구와 같이 갔어요. 제가 녹차라떼 라떼을 마쳤어요.,"라떼, 녹차라떼","['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN12RC045_CN0201_20210727.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 산빡이 스무리 한 잔 그리고 딸기 생크림 케이크를 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
VN30QA299_VN0254_20210911.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '한국에서 카페에 가 본 적이 있습니다 그때 친구와 같이 가서 어/ 아스+ 아이스 아메리카노를 주문해서 마셨습니다', 'SentenceSpeechLV': '중'}",한국에서 카페 가본적이 있습니다. 그때 친구와 같이 가서 아이스 아메리카노을 주문해서 마셨습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
TH12RC045_TH0263_20211105.wav,"우리는 아이스 아메리카노 세 잔과, 사과 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 서바스무드 한 잔 그리고 딸기생 그림 케이크를 주문했어요,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
CN10QC242_CN0231_20210801.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '좋아하는 음료수는 딱히 없는데 그냥 그렇게 달지 않고 어/ 시원하면 다 좋아요 요즘은 뭐/ 아메리카노에 푹 빠졌어요', 'SentenceSpeechLV': '상'}",좋아하는 뉴스를 딱히 없는데 그냥 그렇게 달지 않고 시원하면 다 좋아해요. 요즘은 뭐 아메리카로에 푹 빠졌어요.,좋아하는 뉴스를 딱히 없는데 그냥 그렇게 달지 않고 시원하면 마카다미아 좋아해요. 요즘은 뭐 아메리카노 푹 빠졌어요.,아메리카노,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN12RC045_CN0362_20211006.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아마이리 컬러 세정과 산타기 스무디 한장 그리고 딸기 생크림 케이크를 준비했어요.,ICE 우리는 ICE 아마이리 컬러 세정과 산타기 스무디 한장 그리고 딸기 생크림 케이크를 준비했어요.,아메리카노,['ICE 카라멜마끼아또'],X,O
VN12RC046_VN0032_20210807.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무티를 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 절대로 안 마신데요.,스무티를 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 절대로 안 마신데요.,라떼,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN10QC271_CN0260_20210801.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '어릴 때부터 어머님께서는 복숭아는 장수의 과일이라고 말씀해 주셨습니다 그 이유 때문인지는 몰라도 저는 복숭아를 참 좋아합니다 복숭아에는 여러 가지 영양소들이 많이 함유되어 있다고 합니다', 'SentenceSpeechLV': '상'}",어릴 때부터 어머님께서는 복숭아는 장수의 과일이라고 말씀해 주셨습니다. 그 이유 때문인지는 몰라도 저는 복숭아를 참 좋아합니다. 복숭아에는 여러 가지 영양소들이 많이 함유되어있다고 합니다.,어릴 때부터 어머님께서는 복숭아 장수의 과일이라고 말씀해 주셨습니다. 그 이유 때문인지는 몰라도 저는 복숭아 참 좋아합니다. 복숭아 여러 가지 영양소들이 많이 함유되어있다고 합니다.,복숭아,['복숭아 아이스티'],O,O
CN12RC045_CN0437_20211015.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스 아메리카노, 세 장과 산다기, 스모티 한 장, 그리고 딸기 생크림 케이크를 주문했어요.",ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP13RC062_JP0009_20210801.wav,"어떻게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가, 제가 직접 쿠키와 빵을 만들어 주기로 결심했습니다. ",이렇게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가 제가 직접 끄기와 방을 만들어 주기로 결심했습니다.,이렇게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가 제가 직접 끄기와 방을 만들어 주기로 결심했습니다.,쿠키,['유자차'],X,X
JP10QC271_JP0193_20210807.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '가장 좋아하는 과일은 복숭아예요 달고 물도 많고 향기도 좋고 여름에 나온 과일이라 복숭아가 나오면 여름이 왔다고 느껴서 좋아요', 'SentenceSpeechLV': '상'}",가장 좋아하는 과일은 복숭화에요. 달고 물도 많고 향기도 줬고 여름에 나온 과일이라 복숭화가 나오면 여름이 왔다고 느껴서 좋아요.,가장 좋아하는 과일은 복숭화에요. 달고 물도 많고 향기도 줬고 여름에 나온 과일이라 복숭화가 나오면 여름이 왔다고 느껴서 좋아요.,복숭아,['복숭아 아이스티'],O,O
TH30QA299_TH0111_20210831.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '네 한국에서 카페 많이 가 봤어요 보통 여자인 친구들이랑 가서 수다를 많이 떨어요 거기서 음/ 보통 녹차라떼 많이 마셔요', 'SentenceSpeechLV': '중'}",한국에서 카페 많이 가봤어요. 보통 여자인 친구들이랑 가서 수다를 많이 잇떨어요. 거기서 보통 녹차라 땜 많이 마셔요.,한국에서 디카페인 많이 가봤어요. 보통 여자인 친구들이랑 가서 수다를 많이 잇떨어요. 거기서 보통 녹차라떼 땜 많이 마셔요.,"라떼, 녹차라떼",['디카페인 아메리카노'],X,O
EN22RB034_EN0015_20210930.wav,"또 늦은 시간인데도 와줘서 고맙다고 하시며, 초코소라빵을 꺼내서 저에게도 먹어 보라고 주셨어요.",또 늦은 시간인데도 와줘서 고맙다고 하시며 초코 소럽방을 꺼내서 저에게도 먹어보라고 주셨어요,초코,초코,['ICE 초코'],O,O
JP20QB228_JP0209_20211112.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '간식을 자주 먹나요? 어떤 간식을 좋아하나요? 그 간식을 좋아하는 이유는 무엇인가요?', 'AnswerLabelText': '저는 간식을 자주 안 먹는 편이지만 먹을 때는 쿠키나 좀 단 음식을 먹습니다', 'SentenceSpeechLV': '상'}",저는 간식을 자주 안 먹는 편이지만 먹을 때는 쿠키나 좀 단 음식을 먹습니다.,저는 간식을 자주 안 먹는 편이지만 먹을 때는 쿠키나 좀 단 음식을 먹습니다.,쿠키,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",O,O
